q1,q2,q3,q4,q5,q6,desired_q1,desired_q2,desired_q3,desired_q4,desired_q5,desired_q6
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15939722379534893,0.2390958356930234,0.12751777903627914,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.16926616506860617,0.2538992476029093,0.13541293205488494,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.17911816292737373,0.2686772443910606,0.14329453034189898,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.188952231194153,0.2834283467912295,0.1511617849553224,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.1987673854861838,0.2981510782292757,0.15901390838894705,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2085626433139806,0.3128439649709709,0.1668501146511845,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.21833702417967868,0.327505536269518,0.17466961934374295,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.22808954967518144,0.34213432451277215,0.18247163974014516,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.23781924358009823,0.35672886537014736,0.1902553948640786,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.24752513195946318,0.3712876979391948,0.19802010556757055,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2572062432612255,0.38580936489183826,0.2057649946089804,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.26686160841350115,0.4002924126202517,0.21348928673080092,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.27649026092157586,0.4147353913823638,0.2211922087372607,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2860912369646509,0.42913685544697633,0.22887298957172073,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.29566357549232053,0.4434953632384808,0.23653086039385643,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3052063183207727,0.4578094774811591,0.2441650546566182,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3147185102287024,0.47207776534305357,0.25177480818296194,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3241991990529282,0.4862987985793923,0.2593593592423426,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3336474357837038,0.5004711536755557,0.26691794862696305,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.34306227465971256,0.5145934119895689,0.27444981972777005,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3524427732627378,0.5286641598941068,0.28195421861019027,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.36178799261199807,0.5426819889179971,0.2894303940895985,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.37109699725813844,0.5566454958872077,0.29687759780651074,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3803688553768681,0.5705532830653022,0.3042950843014945,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.38960263886223556,0.5844039582933533,0.3116821110897885,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3987974234195312,0.5981961351292968,0.319037938735625,0
